month_year,district_lgd_code,pincode,bio_age_5_17,bio_age_17_,district_label,state
Apr-25,467,444001,670,1905,Akola,Maharashtra
Apr-25,467,444002,278,583,Akola,Maharashtra
Apr-25,467,444003,138,484,Akola,Maharashtra
Apr-25,467,444004,96,428,Akola,Maharashtra
Apr-25,467,444101,417,1043,Akola,Maharashtra
Apr-25,467,444102,217,612,Akola,Maharashtra
Apr-25,467,444103,108,433,Akola,Maharashtra
Apr-25,467,444104,68,245,Akola,Maharashtra
Apr-25,467,444106,132,420,Akola,Maharashtra
Apr-25,467,444107,375,1177,Akola,Maharashtra
Apr-25,467,444108,452,2128,Akola,Maharashtra
Apr-25,467,444109,103,482,Akola,Maharashtra
Apr-25,467,444111,35,89,Akola,Maharashtra
Apr-25,467,444117,31,121,Akola,Maharashtra
Apr-25,467,444302,51,567,Akola,Maharashtra
Apr-25,467,444311,92,392,Akola,Maharashtra
Apr-25,467,444405,78,361,Akola,Maharashtra
Apr-25,467,444407,48,265,Akola,Maharashtra
Apr-25,467,444501,349,831,Akola,Maharashtra
Apr-25,467,444502,57,307,Akola,Maharashtra
Apr-25,467,444511,95,213,Akola,Maharashtra
Apr-25,468,444601,1900,2954,Amravati,Maharashtra
Apr-25,468,444602,243,780,Amravati,Maharashtra
Apr-25,468,444603,79,229,Amravati,Maharashtra
Apr-25,468,444604,167,444,Amravati,Maharashtra
Apr-25,468,444605,93,228,Amravati,Maharashtra
Apr-25,468,444606,322,637,Amravati,Maharashtra
Apr-25,468,444607,270,680,Amravati,Maharashtra
Apr-25,468,444701,355,1618,Amravati,Maharashtra
Apr-25,468,444702,341,1312,Amravati,Maharashtra
Apr-25,468,444704,156,521,Amravati,Maharashtra
Apr-25,468,444705,285,849,Amravati,Maharashtra
Apr-25,468,444706,91,290,Amravati,Maharashtra
Apr-25,468,444707,107,274,Amravati,Maharashtra
Apr-25,468,444708,159,882,Amravati,Maharashtra
Apr-25,468,444709,600,1688,Amravati,Maharashtra
Apr-25,468,444710,47,138,Amravati,Maharashtra
Apr-25,468,444711,43,125,Amravati,Maharashtra
Apr-25,468,444719,91,356,Amravati,Maharashtra
Apr-25,468,444723,182,598,Amravati,Maharashtra
Apr-25,468,444728,32,172,Amravati,Maharashtra
Apr-25,468,444801,191,582,Amravati,Maharashtra
Apr-25,468,444802,174,572,Amravati,Maharashtra
Apr-25,468,444803,189,685,Amravati,Maharashtra
Apr-25,468,444804,106,416,Amravati,Maharashtra
Apr-25,468,444805,338,794,Amravati,Maharashtra
Apr-25,468,444806,910,2660,Amravati,Maharashtra
Apr-25,468,444807,122,458,Amravati,Maharashtra
Apr-25,468,444808,145,581,Amravati,Maharashtra
Apr-25,468,444809,116,432,Amravati,Maharashtra
Apr-25,468,444813,172,472,Amravati,Maharashtra
Apr-25,468,444901,442,1132,Amravati,Maharashtra
Apr-25,468,444902,90,304,Amravati,Maharashtra
Apr-25,468,444903,216,890,Amravati,Maharashtra
Apr-25,468,444904,316,1461,Amravati,Maharashtra
Apr-25,468,444905,320,896,Amravati,Maharashtra
Apr-25,468,444906,796,2662,Amravati,Maharashtra
Apr-25,468,444907,74,212,Amravati,Maharashtra
Apr-25,468,444908,147,427,Amravati,Maharashtra
Apr-25,469,423701,15,88,Chhatrapati Sambhajinagar,Maharashtra
Apr-25,469,431001,48,378,Chhatrapati Sambhajinagar,Maharashtra
Apr-25,469,431007,10,33,Chhatrapati Sambhajinagar,Maharashtra
Apr-25,469,431136,15,43,Chhatrapati Sambhajinagar,Maharashtra
Apr-25,470,413207,138,376,Beed,Maharashtra
Apr-25,470,413229,77,121,Beed,Maharashtra
Apr-25,470,413249,176,355,Beed,Maharashtra
Apr-25,470,414202,189,320,Beed,Maharashtra
Apr-25,470,414203,316,561,Beed,Maharashtra
Apr-25,470,414204,486,734,Beed,Maharashtra
Apr-25,470,414205,450,804,Beed,Maharashtra
Apr-25,470,414208,73,160,Beed,Maharashtra
Apr-25,470,431122,2604,5338,Beed,Maharashtra
Apr-25,470,431123,692,1515,Beed,Maharashtra
Apr-25,470,431124,426,592,Beed,Maharashtra
Apr-25,470,431125,169,352,Beed,Maharashtra
Apr-25,470,431126,230,641,Beed,Maharashtra
Apr-25,470,431127,1288,1904,Beed,Maharashtra
Apr-25,470,431128,369,925,Beed,Maharashtra
Apr-25,470,431129,301,479,Beed,Maharashtra
Apr-25,470,431130,298,581,Beed,Maharashtra
Apr-25,470,431131,474,1031,Beed,Maharashtra
Apr-25,470,431142,42,68,Beed,Maharashtra
Apr-25,470,431143,598,1030,Beed,Maharashtra
Apr-25,470,431515,938,2382,Beed,Maharashtra
Apr-25,470,431517,1408,3368,Beed,Maharashtra
Apr-25,470,431518,141,223,Beed,Maharashtra
Apr-25,470,431519,232,1252,Beed,Maharashtra
Apr-25,470,431523,113,404,Beed,Maharashtra
Apr-25,470,431530,172,582,Beed,Maharashtra
Apr-25,471,441203,226,1446,Bhandara,Maharashtra
Apr-25,471,441802,274,709,Bhandara,Maharashtra
Apr-25,471,441803,147,487,Bhandara,Maharashtra
Apr-25,471,441804,336,691,Bhandara,Maharashtra
Apr-25,471,441805,83,252,Bhandara,Maharashtra
Apr-25,471,441809,237,448,Bhandara,Maharashtra
Apr-25,471,441903,92,689,Bhandara,Maharashtra
Apr-25,471,441904,270,924,Bhandara,Maharashtra
Apr-25,471,441905,110,439,Bhandara,Maharashtra
Apr-25,471,441906,155,372,Bhandara,Maharashtra
Apr-25,471,441907,98,290,Bhandara,Maharashtra
Apr-25,471,441908,92,410,Bhandara,Maharashtra
Apr-25,471,441909,41,143,Bhandara,Maharashtra
Apr-25,471,441910,382,1758,Bhandara,Maharashtra
Apr-25,471,441912,195,418,Bhandara,Maharashtra
Apr-25,471,441913,74,132,Bhandara,Maharashtra
Apr-25,471,441914,77,398,Bhandara,Maharashtra
Apr-25,471,441915,105,227,Bhandara,Maharashtra
Apr-25,471,441924,450,1766,Bhandara,Maharashtra
Apr-25,472,443001,1047,1904,Buldhana,Maharashtra
Apr-25,472,443101,584,1322,Buldhana,Maharashtra
Apr-25,472,443102,74,259,Buldhana,Maharashtra
Apr-25,472,443103,486,1092,Buldhana,Maharashtra
Apr-25,472,443104,88,157,Buldhana,Maharashtra
Apr-25,472,443106,207,421,Buldhana,Maharashtra
Apr-25,472,443112,49,136,Buldhana,Maharashtra
Apr-25,472,443201,812,2842,Buldhana,Maharashtra
Apr-25,472,443202,246,984,Buldhana,Maharashtra
Apr-25,472,443203,91,226,Buldhana,Maharashtra
Apr-25,472,443206,82,239,Buldhana,Maharashtra
Apr-25,472,443301,265,902,Buldhana,Maharashtra
Apr-25,472,443302,174,746,Buldhana,Maharashtra
Apr-25,472,443303,98,254,Buldhana,Maharashtra
Apr-25,472,443304,84,141,Buldhana,Maharashtra
Apr-25,472,443308,77,133,Buldhana,Maharashtra
Apr-25,472,443401,75,225,Buldhana,Maharashtra
Apr-25,472,443402,752,1806,Buldhana,Maharashtra
Apr-25,472,443403,93,456,Buldhana,Maharashtra
Apr-25,472,444201,77,178,Buldhana,Maharashtra
Apr-25,472,444202,63,139,Buldhana,Maharashtra
Apr-25,472,444203,181,392,Buldhana,Maharashtra
Apr-25,472,444204,148,497,Buldhana,Maharashtra
Apr-25,472,444301,64,149,Buldhana,Maharashtra
Apr-25,472,444303,480,1308,Buldhana,Maharashtra
Apr-25,472,444304,13,72,Buldhana,Maharashtra
Apr-25,472,444306,55,157,Buldhana,Maharashtra
Apr-25,472,444312,61,110,Buldhana,Maharashtra
Apr-25,473,441205,240,508,Chandrapur,Maharashtra
Apr-25,473,441212,56,265,Chandrapur,Maharashtra
Apr-25,473,441215,236,602,Chandrapur,Maharashtra
Apr-25,473,441221,298,846,Chandrapur,Maharashtra
Apr-25,473,441222,270,796,Chandrapur,Maharashtra
Apr-25,473,441223,102,340,Chandrapur,Maharashtra
Apr-25,473,441224,279,900,Chandrapur,Maharashtra
Apr-25,473,441225,183,669,Chandrapur,Maharashtra
Apr-25,473,441228,58,269,Chandrapur,Maharashtra
Apr-25,473,442401,1194,2628,Chandrapur,Maharashtra
Apr-25,473,442402,19,131,Chandrapur,Maharashtra
Apr-25,473,442404,76,137,Chandrapur,Maharashtra
Apr-25,473,442406,69,169,Chandrapur,Maharashtra
Apr-25,473,442501,28,13,Chandrapur,Maharashtra
Apr-25,473,442502,16,41,Chandrapur,Maharashtra
Apr-25,473,442503,27,81,Chandrapur,Maharashtra
Apr-25,473,442505,98,271,Chandrapur,Maharashtra
Apr-25,473,442507,32,74,Chandrapur,Maharashtra
Apr-25,473,442701,360,697,Chandrapur,Maharashtra
Apr-25,473,442702,391,941,Chandrapur,Maharashtra
Apr-25,473,442901,50,46,Chandrapur,Maharashtra
Apr-25,473,442902,138,393,Chandrapur,Maharashtra
Apr-25,473,442904,168,812,Chandrapur,Maharashtra
Apr-25,473,442905,455,977,Chandrapur,Maharashtra
Apr-25,473,442906,165,694,Chandrapur,Maharashtra
Apr-25,473,442907,666,1902,Chandrapur,Maharashtra
Apr-25,473,442908,212,395,Chandrapur,Maharashtra
Apr-25,473,442914,134,550,Chandrapur,Maharashtra
Apr-25,473,442916,131,236,Chandrapur,Maharashtra
Apr-25,473,442917,28,50,Chandrapur,Maharashtra
Apr-25,474,424001,1292,2010,Dhule,Maharashtra
Apr-25,474,424002,351,876,Dhule,Maharashtra
Apr-25,474,424005,89,144,Dhule,Maharashtra
Apr-25,474,424006,398,982,Dhule,Maharashtra
Apr-25,474,424301,50,242,Dhule,Maharashtra
Apr-25,474,424302,85,370,Dhule,Maharashtra
Apr-25,474,424303,166,398,Dhule,Maharashtra
Apr-25,474,424304,618,2067,Dhule,Maharashtra
Apr-25,474,424306,476,1650,Dhule,Maharashtra
Apr-25,474,424307,164,388,Dhule,Maharashtra
Apr-25,474,424308,98,443,Dhule,Maharashtra
Apr-25,474,424309,51,216,Dhule,Maharashtra
Apr-25,474,424310,112,318,Dhule,Maharashtra
Apr-25,474,424311,420,1028,Dhule,Maharashtra
Apr-25,474,424318,39,110,Dhule,Maharashtra
Apr-25,474,425403,38,128,Dhule,Maharashtra
Apr-25,474,425404,43,133,Dhule,Maharashtra
Apr-25,474,425405,1068,1598,Dhule,Maharashtra
Apr-25,474,425406,115,308,Dhule,Maharashtra
Apr-25,474,425407,49,250,Dhule,Maharashtra
Apr-25,474,425408,287,736,Dhule,Maharashtra
Apr-25,474,425421,214,290,Dhule,Maharashtra
Apr-25,474,425427,314,680,Dhule,Maharashtra
Apr-25,474,425428,511,843,Dhule,Maharashtra
Apr-25,475,441207,143,324,Gadchiroli,Maharashtra
Apr-25,475,441208,161,436,Gadchiroli,Maharashtra
Apr-25,475,441209,240,667,Gadchiroli,Maharashtra
Apr-25,475,441217,67,291,Gadchiroli,Maharashtra
Apr-25,475,442504,168,771,Gadchiroli,Maharashtra
Apr-25,475,442603,266,923,Gadchiroli,Maharashtra
Apr-25,475,442604,146,610,Gadchiroli,Maharashtra
