month_year,district_lgd_code,pincode,demo_age_5_17,demo_age_17_,district_label,state
Apr-25,468,444601,258,1482,Amravati,Maharashtra
Apr-25,468,444806,78,946,Amravati,Maharashtra
Apr-25,470,431122,232,2441,Beed,Maharashtra
Apr-25,472,443001,108,1422,Buldhana,Maharashtra
Apr-25,474,424001,162,1726,Dhule,Maharashtra
Apr-25,475,441209,47,224,Gadchiroli,Maharashtra
Apr-25,476,441614,97,474,Gondia,Maharashtra
Apr-25,476,441807,71,191,Gondia,Maharashtra
Apr-25,478,425001,206,1220,Jalgaon,Maharashtra
Apr-25,481,413512,312,3384,Latur,Maharashtra
Apr-25,482,400037,137,1305,Mumbai,Maharashtra
Apr-25,483,400043,562,3544,Mumbai Suburban,Maharashtra
Apr-25,483,400067,148,1549,Mumbai Suburban,Maharashtra
Apr-25,483,400070,137,842,Mumbai Suburban,Maharashtra
Apr-25,483,400095,116,1135,Mumbai Suburban,Maharashtra
Apr-25,483,400101,138,1282,Mumbai Suburban,Maharashtra
Apr-25,483,400104,96,1162,Mumbai Suburban,Maharashtra
Apr-25,484,440023,69,704,Nagpur,Maharashtra
Apr-25,484,440024,141,1381,Nagpur,Maharashtra
Apr-25,484,440034,167,1278,Nagpur,Maharashtra
Apr-25,484,440035,254,1770,Nagpur,Maharashtra
Apr-25,486,425412,85,961,Nandurbar,Maharashtra
Apr-25,486,425413,60,456,Nandurbar,Maharashtra
Apr-25,486,425414,79,294,Nandurbar,Maharashtra
Apr-25,487,423203,246,2522,Nashik,Maharashtra
Apr-25,490,411014,155,1295,Pune,Maharashtra
Apr-25,490,411028,171,1433,Pune,Maharashtra
Apr-25,490,411033,193,1685,Pune,Maharashtra
Apr-25,490,411044,50,559,Pune,Maharashtra
Apr-25,490,411045,71,642,Pune,Maharashtra
Apr-25,490,411046,119,1160,Pune,Maharashtra
Apr-25,490,411057,107,1169,Pune,Maharashtra
Apr-25,490,412105,334,3176,Pune,Maharashtra
Apr-25,491,410206,160,2161,Raigad,Maharashtra
Apr-25,491,410208,34,531,Raigad,Maharashtra
Apr-25,497,400601,208,1566,Thane,Maharashtra
Apr-25,497,400612,611,3624,Thane,Maharashtra
Apr-25,497,401107,379,3573,Thane,Maharashtra
Apr-25,497,421204,110,1199,Thane,Maharashtra
Apr-25,497,421301,301,2490,Thane,Maharashtra
Dec-25,466,413201,3,35,Ahilyanagar,Maharashtra
Dec-25,466,413204,0,25,Ahilyanagar,Maharashtra
Dec-25,466,413205,0,9,Ahilyanagar,Maharashtra
Dec-25,466,413701,2,39,Ahilyanagar,Maharashtra
Dec-25,466,413702,2,23,Ahilyanagar,Maharashtra
Dec-25,466,413703,6,41,Ahilyanagar,Maharashtra
Dec-25,466,413704,1,10,Ahilyanagar,Maharashtra
Dec-25,466,413705,3,73,Ahilyanagar,Maharashtra
Dec-25,466,413706,0,38,Ahilyanagar,Maharashtra
Dec-25,466,413707,0,6,Ahilyanagar,Maharashtra
Dec-25,466,413708,0,11,Ahilyanagar,Maharashtra
Dec-25,466,413709,7,98,Ahilyanagar,Maharashtra
Dec-25,466,413710,1,20,Ahilyanagar,Maharashtra
Dec-25,466,413711,2,8,Ahilyanagar,Maharashtra
Dec-25,466,413712,0,4,Ahilyanagar,Maharashtra
Dec-25,466,413713,7,29,Ahilyanagar,Maharashtra
Dec-25,466,413714,0,29,Ahilyanagar,Maharashtra
Dec-25,466,413715,3,19,Ahilyanagar,Maharashtra
Dec-25,466,413716,3,21,Ahilyanagar,Maharashtra
Dec-25,466,413717,0,7,Ahilyanagar,Maharashtra
Dec-25,466,413718,0,8,Ahilyanagar,Maharashtra
Dec-25,466,413719,1,8,Ahilyanagar,Maharashtra
Dec-25,466,413720,1,26,Ahilyanagar,Maharashtra
Dec-25,466,413721,0,25,Ahilyanagar,Maharashtra
Dec-25,466,413722,0,3,Ahilyanagar,Maharashtra
Dec-25,466,413723,3,7,Ahilyanagar,Maharashtra
Dec-25,466,413725,0,33,Ahilyanagar,Maharashtra
Dec-25,466,413726,3,24,Ahilyanagar,Maharashtra
