month_year,district_lgd_code,pincode,age_0_5,age_5_17,age_18_greater,district_label,state
Apr-25,470,431122,379,52,19,Beed,Maharashtra
Apr-25,473,442401,193,18,10,Chandrapur,Maharashtra
Apr-25,477,431512,243,22,33,Hingoli,Maharashtra
Apr-25,477,431513,231,30,15,Hingoli,Maharashtra
Apr-25,477,431701,133,11,20,Hingoli,Maharashtra
Apr-25,477,431702,120,16,23,Hingoli,Maharashtra
Apr-25,477,431705,186,16,45,Hingoli,Maharashtra
Apr-25,478,425001,360,53,10,Jalgaon,Maharashtra
Apr-25,481,413517,229,42,23,Latur,Maharashtra
Apr-25,483,400058,82,13,10,Mumbai Suburban,Maharashtra
Apr-25,483,400070,135,34,22,Mumbai Suburban,Maharashtra
Apr-25,483,400072,172,62,12,Mumbai Suburban,Maharashtra
Apr-25,484,440027,81,14,10,Nagpur,Maharashtra
Apr-25,484,440034,192,13,20,Nagpur,Maharashtra
Apr-25,484,440035,195,23,18,Nagpur,Maharashtra
Apr-25,485,431604,149,42,12,Nanded,Maharashtra
Apr-25,485,431704,66,12,10,Nanded,Maharashtra
Apr-25,485,431715,188,24,12,Nanded,Maharashtra
Apr-25,485,431806,59,11,22,Nanded,Maharashtra
Apr-25,486,425412,237,35,10,Nandurbar,Maharashtra
Apr-25,489,431402,135,10,16,Parbhani,Maharashtra
Apr-25,490,410405,39,11,19,Pune,Maharashtra
Apr-25,491,410206,242,72,21,Raigad,Maharashtra
Apr-25,494,415523,192,26,18,Satara,Maharashtra
Apr-25,496,413203,91,11,13,Solapur,Maharashtra
Apr-25,496,413304,278,38,21,Solapur,Maharashtra
Apr-25,496,413401,179,18,11,Solapur,Maharashtra
Apr-25,497,400607,84,22,22,Thane,Maharashtra
Apr-25,497,400612,398,163,29,Thane,Maharashtra
Apr-25,497,401107,292,182,10,Thane,Maharashtra
Apr-25,497,421004,100,30,11,Thane,Maharashtra
Apr-25,497,421301,360,124,12,Thane,Maharashtra
Apr-25,497,421302,545,186,17,Thane,Maharashtra
Apr-25,497,421306,220,98,11,Thane,Maharashtra
Apr-25,497,421501,146,46,15,Thane,Maharashtra
Apr-25,497,421503,226,62,23,Thane,Maharashtra
Apr-25,665,401209,174,90,16,Palghar,Maharashtra
Dec-25,466,413725,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,413726,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,413738,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,413739,2,0,0,Ahilyanagar,Maharashtra
Dec-25,466,414001,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,414111,0,1,0,Ahilyanagar,Maharashtra
Dec-25,466,414201,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,414302,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,422608,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,422610,1,0,0,Ahilyanagar,Maharashtra
Dec-25,466,422620,1,0,0,Ahilyanagar,Maharashtra
Dec-25,467,444001,115,9,0,Akola,Maharashtra
Dec-25,467,444002,42,5,0,Akola,Maharashtra
Dec-25,467,444003,24,2,0,Akola,Maharashtra
Dec-25,467,444004,5,1,0,Akola,Maharashtra
Dec-25,467,444005,18,1,0,Akola,Maharashtra
Dec-25,467,444006,12,0,0,Akola,Maharashtra
Dec-25,467,444101,99,4,0,Akola,Maharashtra
Dec-25,467,444102,45,0,0,Akola,Maharashtra
Dec-25,467,444103,19,2,0,Akola,Maharashtra
Dec-25,467,444104,7,1,0,Akola,Maharashtra
Dec-25,467,444106,11,1,0,Akola,Maharashtra
Dec-25,467,444107,49,7,0,Akola,Maharashtra
Dec-25,467,444108,40,3,1,Akola,Maharashtra
Dec-25,467,444109,10,2,0,Akola,Maharashtra
Dec-25,467,444111,7,0,0,Akola,Maharashtra
Dec-25,467,444115,2,0,0,Akola,Maharashtra
Dec-25,467,444117,5,0,0,Akola,Maharashtra
Dec-25,467,444126,8,0,0,Akola,Maharashtra
Dec-25,467,444302,5,3,0,Akola,Maharashtra
Dec-25,467,444311,5,3,0,Akola,Maharashtra
Dec-25,467,444401,17,1,0,Akola,Maharashtra
Dec-25,467,444405,8,1,0,Akola,Maharashtra
Dec-25,467,444407,18,0,0,Akola,Maharashtra
Dec-25,467,444501,58,2,0,Akola,Maharashtra
Dec-25,467,444502,8,0,0,Akola,Maharashtra
Dec-25,467,444511,16,3,0,Akola,Maharashtra
Dec-25,468,444601,107,13,0,Amravati,Maharashtra
Dec-25,468,444602,44,4,1,Amravati,Maharashtra
Dec-25,468,444603,8,4,0,Amravati,Maharashtra
Dec-25,468,444604,26,5,1,Amravati,Maharashtra
Dec-25,468,444605,14,0,0,Amravati,Maharashtra
Dec-25,468,444606,33,5,0,Amravati,Maharashtra
Dec-25,468,444607,21,1,0,Amravati,Maharashtra
Dec-25,468,444701,51,9,0,Amravati,Maharashtra
Dec-25,468,444702,58,15,0,Amravati,Maharashtra
Dec-25,468,444704,20,0,0,Amravati,Maharashtra
Dec-25,468,444705,54,2,3,Amravati,Maharashtra
Dec-25,468,444706,15,1,0,Amravati,Maharashtra
Dec-25,468,444707,10,0,0,Amravati,Maharashtra
Dec-25,468,444708,20,1,0,Amravati,Maharashtra
Dec-25,468,444709,32,3,0,Amravati,Maharashtra
Dec-25,468,444710,7,0,0,Amravati,Maharashtra
Dec-25,468,444711,9,0,0,Amravati,Maharashtra
Dec-25,468,444717,16,2,0,Amravati,Maharashtra
Dec-25,468,444719,22,5,0,Amravati,Maharashtra
Dec-25,468,444720,8,0,0,Amravati,Maharashtra
Dec-25,468,444723,16,0,0,Amravati,Maharashtra
Dec-25,468,444728,6,1,0,Amravati,Maharashtra
Dec-25,468,444801,30,2,0,Amravati,Maharashtra
Dec-25,468,444802,14,0,0,Amravati,Maharashtra
Dec-25,468,444803,41,1,0,Amravati,Maharashtra
Dec-25,468,444804,13,0,0,Amravati,Maharashtra
Dec-25,468,444805,27,0,0,Amravati,Maharashtra
Dec-25,468,444806,56,1,0,Amravati,Maharashtra
Dec-25,468,444807,13,4,0,Amravati,Maharashtra
Dec-25,468,444808,23,2,0,Amravati,Maharashtra
Dec-25,468,444809,13,1,0,Amravati,Maharashtra
Dec-25,468,444810,9,0,0,Amravati,Maharashtra
Dec-25,468,444813,26,2,0,Amravati,Maharashtra
Dec-25,468,444901,13,0,0,Amravati,Maharashtra
Dec-25,468,444902,11,0,0,Amravati,Maharashtra
Dec-25,468,444903,10,1,0,Amravati,Maharashtra
Dec-25,468,444904,45,2,1,Amravati,Maharashtra
Dec-25,468,444905,29,2,0,Amravati,Maharashtra
Dec-25,468,444906,51,0,0,Amravati,Maharashtra
Dec-25,468,444907,11,1,0,Amravati,Maharashtra
Dec-25,468,444908,17,0,0,Amravati,Maharashtra
Dec-25,469,423701,4,1,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,423702,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431001,17,18,7,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431002,1,3,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431003,3,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431004,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431005,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431006,1,0,1,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431007,6,5,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431008,4,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431101,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431102,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431103,7,2,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431104,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431105,0,0,2,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431109,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431111,1,2,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431113,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431115,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431116,2,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431118,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431133,9,2,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431136,13,7,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431147,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431150,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,469,431151,1,0,0,Chhatrapati Sambhajinagar,Maharashtra
Dec-25,470,413207,8,0,0,Beed,Maharashtra
Dec-25,470,413229,7,0,0,Beed,Maharashtra
Dec-25,470,413249,13,3,0,Beed,Maharashtra
Dec-25,470,414202,37,0,0,Beed,Maharashtra
Dec-25,470,414203,45,4,0,Beed,Maharashtra
Dec-25,470,414204,28,2,0,Beed,Maharashtra
Dec-25,470,414205,26,2,0,Beed,Maharashtra
Dec-25,470,414208,15,0,0,Beed,Maharashtra
Dec-25,470,431122,170,27,10,Beed,Maharashtra
Dec-25,470,431123,76,3,0,Beed,Maharashtra
Dec-25,470,431124,44,1,0,Beed,Maharashtra
Dec-25,470,431125,14,0,1,Beed,Maharashtra
Dec-25,470,431126,23,2,4,Beed,Maharashtra
Dec-25,470,431127,50,6,5,Beed,Maharashtra
Dec-25,470,431128,40,2,1,Beed,Maharashtra
Dec-25,470,431129,14,1,1,Beed,Maharashtra
Dec-25,470,431130,43,1,1,Beed,Maharashtra
Dec-25,470,431131,82,5,0,Beed,Maharashtra
Dec-25,470,431142,4,1,0,Beed,Maharashtra
Dec-25,470,431143,23,1,0,Beed,Maharashtra
Dec-25,470,431515,54,15,0,Beed,Maharashtra
Dec-25,470,431517,65,8,0,Beed,Maharashtra
Dec-25,470,431518,19,0,0,Beed,Maharashtra
Dec-25,470,431519,22,1,0,Beed,Maharashtra
Dec-25,470,431520,1,0,0,Beed,Maharashtra
Dec-25,470,431523,9,1,0,Beed,Maharashtra
Dec-25,470,431530,15,6,0,Beed,Maharashtra
Dec-25,471,441203,63,5,0,Bhandara,Maharashtra
Dec-25,471,441802,56,0,0,Bhandara,Maharashtra
Dec-25,471,441803,7,0,0,Bhandara,Maharashtra
Dec-25,471,441804,33,1,0,Bhandara,Maharashtra
Dec-25,471,441805,13,1,0,Bhandara,Maharashtra
Dec-25,471,441809,14,0,0,Bhandara,Maharashtra
Dec-25,471,441903,23,1,0,Bhandara,Maharashtra
Dec-25,471,441904,32,1,0,Bhandara,Maharashtra
Dec-25,471,441905,45,0,0,Bhandara,Maharashtra
Dec-25,471,441906,27,0,0,Bhandara,Maharashtra
Dec-25,471,441907,14,0,0,Bhandara,Maharashtra
Dec-25,471,441908,19,0,0,Bhandara,Maharashtra
Dec-25,471,441909,23,0,0,Bhandara,Maharashtra
Dec-25,471,441910,44,0,0,Bhandara,Maharashtra
Dec-25,471,441912,34,0,0,Bhandara,Maharashtra
Dec-25,471,441913,12,0,0,Bhandara,Maharashtra
Dec-25,471,441914,28,1,0,Bhandara,Maharashtra
Dec-25,471,441915,19,0,0,Bhandara,Maharashtra
Dec-25,471,441924,26,1,0,Bhandara,Maharashtra
Dec-25,472,443001,84,7,0,Buldhana,Maharashtra
Dec-25,472,443101,52,5,0,Buldhana,Maharashtra
Dec-25,472,443102,25,3,0,Buldhana,Maharashtra
Dec-25,472,443103,33,4,1,Buldhana,Maharashtra
Dec-25,472,443104,10,0,0,Buldhana,Maharashtra
Dec-25,472,443106,33,2,0,Buldhana,Maharashtra
Dec-25,472,443112,8,0,0,Buldhana,Maharashtra
Dec-25,472,443201,94,3,0,Buldhana,Maharashtra
Dec-25,472,443202,33,5,0,Buldhana,Maharashtra
Dec-25,472,443203,22,2,0,Buldhana,Maharashtra
Dec-25,472,443204,16,1,0,Buldhana,Maharashtra
Dec-25,472,443206,12,2,0,Buldhana,Maharashtra
Dec-25,472,443301,72,2,0,Buldhana,Maharashtra
Dec-25,472,443302,57,1,0,Buldhana,Maharashtra
Dec-25,472,443303,39,0,0,Buldhana,Maharashtra
Dec-25,472,443304,34,1,0,Buldhana,Maharashtra
Dec-25,472,443308,23,1,0,Buldhana,Maharashtra
Dec-25,472,443401,11,0,1,Buldhana,Maharashtra
Dec-25,472,443402,24,5,0,Buldhana,Maharashtra
Dec-25,472,443403,14,2,0,Buldhana,Maharashtra
Dec-25,472,443404,78,4,8,Buldhana,Maharashtra
Dec-25,472,444201,14,2,0,Buldhana,Maharashtra
Dec-25,472,444202,11,1,0,Buldhana,Maharashtra
Dec-25,472,444203,29,0,0,Buldhana,Maharashtra
Dec-25,472,444204,19,2,0,Buldhana,Maharashtra
Dec-25,472,444301,8,1,0,Buldhana,Maharashtra
Dec-25,472,444303,137,13,2,Buldhana,Maharashtra
Dec-25,472,444304,7,0,0,Buldhana,Maharashtra
Dec-25,472,444306,28,6,0,Buldhana,Maharashtra
Dec-25,472,444312,12,1,1,Buldhana,Maharashtra
Dec-25,473,441205,29,1,0,Chandrapur,Maharashtra
Dec-25,473,441206,65,2,0,Chandrapur,Maharashtra
Dec-25,473,441212,6,0,0,Chandrapur,Maharashtra
Dec-25,473,441215,18,0,0,Chandrapur,Maharashtra
Dec-25,473,441221,37,0,0,Chandrapur,Maharashtra
Dec-25,473,441222,24,0,0,Chandrapur,Maharashtra
Dec-25,473,441223,12,0,0,Chandrapur,Maharashtra
Dec-25,473,441224,28,1,0,Chandrapur,Maharashtra
Dec-25,473,441225,12,0,0,Chandrapur,Maharashtra
Dec-25,473,441228,7,0,0,Chandrapur,Maharashtra
Dec-25,473,442401,92,10,4,Chandrapur,Maharashtra
Dec-25,473,442402,11,0,1,Chandrapur,Maharashtra
Dec-25,473,442403,13,1,0,Chandrapur,Maharashtra
Dec-25,473,442404,18,0,0,Chandrapur,Maharashtra
Dec-25,473,442406,4,1,0,Chandrapur,Maharashtra
Dec-25,473,442501,2,0,0,Chandrapur,Maharashtra
Dec-25,473,442502,3,0,0,Chandrapur,Maharashtra
Dec-25,473,442503,4,3,0,Chandrapur,Maharashtra
Dec-25,473,442505,6,0,0,Chandrapur,Maharashtra
Dec-25,473,442507,6,0,0,Chandrapur,Maharashtra
Dec-25,473,442701,35,3,0,Chandrapur,Maharashtra
Dec-25,473,442702,26,0,0,Chandrapur,Maharashtra
Dec-25,473,442901,1,1,0,Chandrapur,Maharashtra
Dec-25,473,442902,34,0,0,Chandrapur,Maharashtra
Dec-25,473,442903,27,1,0,Chandrapur,Maharashtra
Dec-25,473,442904,20,0,0,Chandrapur,Maharashtra
Dec-25,473,442905,36,7,0,Chandrapur,Maharashtra
Dec-25,473,442906,24,1,0,Chandrapur,Maharashtra
